n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,268,61,74,47,62,270,79,79,54,75,79,115,91,266,74,136,56,84,58,59,57,54,171,53,195,52,152,51,52,95,45,137,123,192,77,57,58,454,51,59,59,169,73,63,46,50,105,173,61,54,52,86,51,175,96,67,200,94,67,84,48,62,125,54,68,87,46,73,94,157,148,71,104,95,62,106,181,88,233,68,195,111,117,98,118,44,61,77,101,77,52,156,62,107,69,196,50,82,77,90,
2000,145,47,224,120,92,114,65,61,69,101,61,46,57,62,50,442,70,188,67,63,74,52,53,84,130,57,122,242,871,85,47,209,55,51,103,66,62,273,70,174,174,61,51,109,202,85,150,78,258,49,63,269,70,254,66,69,128,61,70,52,52,44,60,102,123,396,80,52,303,85,111,70,55,73,45,72,53,182,85,193,59,79,43,59,112,143,56,158,506,366,110,510,144,67,86,152,387,67,270,403,
3000,75,74,63,62,61,94,110,69,62,62,93,59,67,98,80,90,85,187,128,53,50,568,68,84,49,54,89,56,64,50,49,61,90,80,185,51,147,62,69,91,150,70,51,79,68,49,93,111,356,54,102,143,141,315,837,85,135,146,109,263,79,98,70,82,56,88,213,143,92,241,78,87,1053,103,83,140,124,72,62,65,257,71,109,61,55,86,121,190,56,66,279,56,51,125,169,39,56,89,79,108,
4000,61,59,76,99,63,170,57,64,55,65,69,48,152,77,73,68,85,59,132,67,169,226,73,485,81,82,203,61,128,203,52,81,64,66,145,66,72,47,75,86,76,537,47,77,90,121,79,101,72,77,66,101,370,75,70,72,113,89,57,121,89,53,75,138,189,49,70,110,177,101,88,84,78,70,88,75,75,50,500,61,74,61,56,108,206,64,54,66,60,65,81,56,170,186,87,68,55,50,74,177,
5000,339,50,112,256,69,57,72,125,365,48,105,75,120,63,71,60,59,75,121,131,198,87,133,610,312,68,86,140,54,78,73,83,54,69,77,147,71,121,61,131,83,59,94,70,495,88,178,90,91,277,58,118,58,169,52,249,82,58,104,48,141,90,125,106,58,66,89,159,66,579,64,93,120,56,66,52,71,69,186,256,75,72,166,74,90,62,123,137,551,66,86,57,1047,82,62,56,93,57,70,69,
