n,time
4710,603.755
4720,597.947
4730,588.012
4740,589.178
4750,585.572
4760,594.531
4770,605.183
4780,593.492
4790,602.944
4800,600.685
4810,592.809
4820,597.038
4830,595.338
4840,589.444
4850,573.018
4860,596.584
4870,594.489
4880,606.767
4890,583.01
4900,593.635
4910,591.868
4920,599.043
4930,596.134
4940,603.761
4950,585.525
4960,588.767
4970,592.41
4980,587.327
4990,599.114
5000,593.385
