n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,56,28,43,54,83,51,169,27,32,33,159,56,27,33,29,26,31,34,33,64,29,29,40,38,40,28,31,27,76,85,55,31,67,29,28,29,32,35,36,60,27,68,45,28,56,30,29,35,26,27,32,41,80,27,28,32,32,27,39,27,51,38,40,38,45,51,35,28,28,50,88,28,43,30,30,61,73,41,68,41,58,29,44,32,29,39,39,30,88,28,34,29,28,41,47,28,33,26,35,29,
2000,49,133,42,52,28,140,29,217,134,28,58,41,84,30,209,45,39,34,28,31,29,31,70,49,42,36,72,48,48,46,36,37,28,32,56,42,60,57,57,49,154,37,32,37,33,29,36,34,37,112,30,31,28,33,28,30,29,39,34,81,35,30,31,34,33,31,51,64,34,42,33,41,28,50,203,30,29,32,40,278,44,44,77,33,33,30,44,30,33,195,29,32,31,44,211,203,44,29,46,30,
3000,50,35,32,35,36,31,32,33,35,33,29,552,33,35,50,42,47,44,34,75,124,30,63,31,29,435,35,29,31,50,43,30,33,31,28,31,104,69,30,37,46,36,61,44,40,33,93,32,37,44,33,41,42,186,85,33,48,33,49,29,89,28,124,42,83,47,69,36,31,31,59,38,39,31,179,53,46,59,31,38,32,44,30,34,37,35,37,50,34,30,31,67,86,31,38,34,64,36,29,46,
4000,36,46,67,97,52,30,30,30,41,30,30,64,40,29,31,34,29,36,57,158,34,45,46,34,33,233,34,29,43,44,34,52,79,92,35,30,100,35,50,33,31,37,39,34,68,51,40,32,38,48,49,133,47,32,40,31,30,32,49,41,44,32,46,31,44,28,69,41,640,53,37,34,34,472,40,34,191,31,37,265,72,64,29,39,42,36,120,42,302,152,86,41,63,36,29,62,30,75,53,37,
5000,41,30,31,30,48,36,32,37,77,33,51,45,95,34,38,73,42,32,48,35,33,204,65,43,89,32,31,34,36,29,65,570,63,38,36,406,49,83,167,34,150,59,30,34,39,200,50,35,33,52,34,33,43,120,43,101,39,35,38,35,42,34,50,53,36,52,90,37,1522,203,38,36,285,44,41,30,50,31,41,36,44,135,32,243,126,30,60,51,38,286,33,56,283,36,46,56,47,41,34,29,
