n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,4853,3332,3438,3859,4256,4070,4533,4958,3991,5727,4099,5501,6358,5363,4757,5530,7883,5349,5387,6601,4793,5175,6210,5648,5245,6040,6659,4902,6597,6028,5364,6837,6947,5404,5059,6077,4885,4614,6229,6821,3944,4930,5078,5223,5407,5878,7876,5308,4464,2702,3119,3936,5084,3749,3486,3500,3324,3096,4577,4613,3056,4862,4362,3113,3347,3188,4108,5140,3597,3861,5346,3622,3648,4394,5756,4262,5438,7289,6921,5990,6706,5467,4738,4886,5512,7872,7453,5457,5487,4955,5575,5450,5535,5917,7168,5209,6749,5730,8174,6558,
2000,7253,5187,5964,5667,6631,5183,10347,6976,5314,9924,7171,8945,9706,7622,8537,7587,11486,8748,9506,12147,6957,8250,10868,8461,5860,9213,9420,6606,8526,7045,7432,11287,9943,7267,7681,8151,8155,7045,8803,10197,5851,7725,7692,7902,7555,8576,12900,9288,6168,4400,5579,6949,7537,5737,4969,5050,5468,4352,8783,7047,4692,5160,5683,4865,4463,5748,5186,6179,6508,5298,6837,8047,5688,6811,9690,7204,7621,11071,8359,9681,8263,8270,7901,7770,6232,9495,9364,7701,7506,9597,8396,7933,9079,8574,9722,7498,9256,9124,12441,8383,
3000,9518,6773,7842,6730,8392,6315,10236,9256,8513,11963,10888,11910,14082,10981,8928,10685,15376,11973,12314,12973,9081,10801,13983,9951,8541,12437,13256,9513,11227,11317,10447,14804,14409,10066,9074,10234,11011,10117,11547,13305,8708,10722,9332,10481,11468,10683,15818,11034,8468,6597,7444,8855,10131,7549,6662,7216,6337,6078,7733,8707,6319,7335,9598,6280,6377,7180,6872,8314,8411,6934,9365,8250,8085,9095,12058,9834,9509,15327,12144,11746,10928,13445,9909,10030,10105,12997,12692,12197,9654,11517,15279,9831,12068,12914,13496,9906,12843,12561,15690,11191,
4000,11162,7770,9634,8320,9933,7718,11438,11601,8145,14670,12349,15531,14900,12558,12684,13238,19709,12240,16252,14786,12334,12471,16294,14613,9057,16443,17018,10916,12013,11757,13021,20028,15764,12097,11040,13109,14016,10907,15132,15520,9678,12653,12601,11033,12063,13602,15146,9294,11270,8365,10972,9561,11601,8680,6824,8571,7729,7624,9899,10299,7845,10815,10108,7853,7681,8800,10137,9786,9885,8515,10955,10178,9433,10158,13361,11551,12795,17957,16244,13776,12819,18075,13794,13283,9847,15293,16387,12918,13155,12451,13179,13233,15628,14297,15319,11354,15424,15260,18688,13516,
5000,14118,9143,11140,9339,13789,9252,15772,13701,11183,18854,14638,17993,17176,15568,14012,14810,23112,13961,19708,15884,14758,20566,16834,16297,11820,19494,17942,14297,13365,14551,15932,21453,18604,14943,12400,14935,16967,12932,17153,19429,11615,16739,15102,13914,15105,16978,17541,10882,14037,10108,8533,11621,15319,12622,8702,9751,9040,8944,11255,11199,9677,11890,12273,9138,9429,10512,10297,12336,12345,9635,14251,10733,13739,12889,15152,14189,14065,21190,17702,16120,16258,21903,15974,14331,12817,18893,19504,14032,14997,16073,14891,14819,16954,19345,18796,12797,17517,17206,21610,15310,
