n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,38,24,24,23,31,30,26,27,21,22,27,26,17,25,19,28,21,21,57,28,18,19,21,20,23,19,30,24,27,19,37,21,20,22,23,19,20,21,31,20,20,33,22,20,20,20,19,41,21,22,19,60,27,22,23,20,25,19,19,23,26,19,18,21,25,28,17,21,18,20,23,24,34,40,40,20,21,23,21,19,27,23,21,20,19,27,20,19,22,21,20,19,17,17,19,20,22,17,29,21,
2000,29,21,24,41,32,35,2746,23,32,20,23,20,29,25,23,22,23,20,20,24,23,27,29,22,36,41,21,21,19,28,20,28,36,20,28,28,22,26,26,20,21,40,39,21,21,30,26,34,37,22,23,22,22,39,30,20,30,26,25,42,22,21,22,32,22,20,30,20,23,22,20,23,23,35,21,22,21,22,26,20,23,25,20,23,40,24,22,19,35,25,21,67,35,19,19,24,19,30,20,20,
3000,31,31,26,29,27,43,29,29,45,25,161,22,20,29,22,19,25,120,22,23,21,26,20,31,26,41,41,20,21,41,25,20,23,21,39,32,27,29,24,25,22,21,24,20,22,23,33,21,32,58,34,36,23,25,27,85,27,28,21,20,22,38,26,27,57,37,22,28,19,24,33,29,23,23,30,28,23,27,24,25,22,22,24,21,39,31,20,25,25,21,23,24,25,21,21,22,27,22,23,28,
4000,30,25,30,28,46,31,36,36,27,36,33,22,20,24,24,20,22,21,26,33,23,23,31,21,28,27,25,32,25,23,30,26,25,30,25,35,21,24,28,30,23,27,52,23,24,27,27,22,31,27,29,20,21,36,46,30,28,22,29,39,23,19,21,32,25,23,23,22,25,23,43,25,26,46,52,23,56,24,20,40,23,20,24,27,22,25,24,20,23,23,24,30,20,22,24,21,23,31,20,36,
5000,44,28,24,30,34,30,32,31,26,27,28,21,39,22,38,28,23,24,47,22,33,25,22,39,24,23,22,23,26,28,26,140,37,23,26,32,43,23,24,20,32,30,22,38,24,59,73,23,27,29,33,20,24,25,29,30,21,28,23,23,22,27,31,22,23,21,21,26,24,21,24,30,20,33,26,20,25,30,21,63,43,21,35,21,44,34,28,21,21,25,23,20,25,42,21,22,21,22,21,24,
