n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,165953,169206,136116,136438,135202,139458,138705,139250,137730,135494,140368,138803,163040,145791,298483,151435,152812,197275,140534,143013,139744,136221,167835,141060,142292,152240,155868,152640,145459,145529,151949,130715,146739,148958,148902,145064,158264,180430,151150,152701,149963,155231,148501,149990,178329,179869,288196,253131,156072,155626,149753,161762,178490,213904,408981,242038,287890,248222,310087,299553,374015,262660,225519,235956,381362,641168,672234,353562,314175,173517,212443,201273,238251,169238,233055,172427,170923,211201,146988,146880,147192,142339,141775,153706,176393,150630,569638,329257,350079,356902,416272,505603,408873,602507,537859,347807,423725,405055,288382,306563,
2000,150432,154384,143841,129712,127063,126510,127105,127469,126959,127556,124954,127715,141524,135431,179942,145111,130996,232218,127696,124633,126457,128857,167184,128765,138230,152308,142077,142397,127051,132374,132754,135657,140881,128358,124253,131572,136767,138321,136542,143068,134495,139386,142818,138858,210115,141818,219726,223980,139705,140877,138831,142799,164253,224903,389661,543915,290863,257749,228756,257919,238855,250179,303230,254127,484623,888200,574693,199383,310684,177113,195734,178449,200040,225976,226133,182038,141274,148319,147119,177409,142510,131480,131495,142290,163532,182961,341587,349272,246209,342144,234103,517472,389313,311088,495082,312190,354910,321468,304103,281389,
3000,104194,101047,125767,100827,99225,102287,99209,106112,98917,104867,102134,99422,105706,209824,122460,111948,147882,126025,98905,103062,103446,99887,243945,106523,111216,110408,116744,113286,101302,107535,104356,113279,116678,113944,100816,115572,111284,117510,111701,113693,113521,117927,117136,112593,202326,245426,148637,170416,112914,116391,118542,130007,116385,152782,351299,367566,288874,250545,183337,214012,157451,194534,254171,195351,372778,269959,432934,191803,159168,127660,196605,201586,199018,150114,184647,164428,133021,116313,120026,129576,106220,110134,123333,128003,180043,134921,352302,351066,229748,285402,232923,294391,288034,303663,354591,238388,301777,186322,206906,191644,
4000,82686,78504,92484,80768,79789,77974,77370,78791,79103,77399,80364,78937,80735,103600,81937,82554,134784,95663,84369,81247,78479,80723,136345,92428,85595,84975,94104,91980,83836,88239,77380,84102,81000,94423,81221,92861,88176,85914,87843,85439,91653,90391,92447,81442,96745,154404,113017,120775,85058,85597,92344,95697,95682,248486,310358,246337,246202,158522,161730,118136,188119,121154,350034,167796,424760,566458,562800,192060,118355,128736,192973,219509,113229,161440,203453,118537,109040,83254,87513,105120,86699,84652,90400,108103,134189,195843,312763,236743,195689,215031,160312,222643,252014,348508,218773,221761,232407,250984,165924,136405,
5000,49433,51669,49771,51542,50484,52751,52408,50237,50838,51476,51841,50022,54595,50304,94342,62106,74221,52287,49383,53557,50333,53878,54378,61674,63868,56218,57409,58600,55580,60112,51414,52967,58282,56856,50272,54219,58358,54296,64177,55230,57089,56160,54370,56777,66372,98571,79662,72885,57800,57784,56495,57877,82592,285694,146225,97777,174853,88757,99762,87122,240656,85264,131724,72719,201338,155158,150175,83057,104353,82953,114370,136805,75540,93849,85915,70195,67902,86690,71195,61729,51204,51539,54214,69616,92186,243288,178118,124535,144083,105562,166835,153703,283884,99355,156163,101569,107541,144649,105832,118238,
