n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,135046,127120,131623,124826,130769,126693,125611,128974,125791,130100,123329,128673,130420,120533,171685,176399,169445,176027,175871,173104,175204,170859,176353,179736,177415,168267,166894,188843,173623,182655,173628,173768,128613,123333,129180,130406,129661,124925,121973,126165,132601,177365,177069,178254,175092,174012,179288,173591,198305,182380,176125,221555,157668,158140,132829,125938,124685,134818,125541,126812,128564,184599,183452,181473,177362,177282,194064,131377,128197,127827,135741,129356,128083,132323,137201,128456,134698,138440,132968,129351,141407,128896,133984,187778,171518,173717,190473,175587,171697,175500,185045,178384,183538,186068,178736,179803,189326,177695,181623,176230,
2000,111463,108751,109216,109921,113218,108879,105517,105836,106570,103742,122714,103816,105668,106274,145276,148045,151733,143525,142961,154481,148585,148123,146113,148878,151567,149829,145188,147624,148626,156651,145483,150028,107771,103465,103479,106809,109198,108220,111440,104899,149280,154218,145067,150090,145427,146608,145025,149885,142880,152643,149764,149961,107473,110595,106588,103850,118043,107716,104224,105805,122714,151564,150940,152976,148388,148665,127215,107414,103774,106351,112528,105791,105168,117861,110221,110923,112154,133350,108686,113883,129571,109901,135374,156076,154068,150240,147831,150860,145340,156320,151856,155514,151765,148881,153172,150412,146632,145656,157302,149333,
3000,73348,71638,70418,71318,76879,72560,74950,69661,68849,70245,69329,70720,71005,90815,98301,96768,99837,98576,98394,100139,97345,99273,93072,98551,97925,97866,97409,96356,104586,107738,98769,108707,69730,69567,71096,71871,74882,70856,71437,68894,100923,102540,98847,102734,96799,98233,103494,105018,101697,96825,97438,96810,73377,74798,73783,70478,72204,76476,70301,73552,105036,103034,99291,101597,99812,100409,73181,70829,70165,72059,75197,72981,72216,77709,75997,74792,76827,74879,77045,76657,70765,78681,100604,103376,100785,97337,101018,102087,98361,101605,99468,103397,106532,107588,102875,102408,103795,101326,103380,97039,
4000,43094,44126,44056,43653,42739,43149,43034,43174,42715,45736,41781,43715,56881,59880,58640,59283,61029,59717,56445,58631,56064,59312,61772,59982,61306,59580,57151,62411,62030,60303,59486,61554,42244,43643,43026,43741,45242,42299,43746,43920,60688,60619,58933,57646,60845,58512,63803,65949,58816,61567,60703,59240,43314,44179,44046,40669,43313,44075,43370,44408,64082,61475,61198,60600,59331,59788,43437,42314,44437,44453,44244,41788,43265,45819,45241,48487,56733,46012,47978,45973,42677,43377,60997,62500,73864,62995,61255,59230,58579,59120,60869,61151,78821,61533,61216,62646,64933,60006,63050,57459,
5000,16054,16780,15065,15301,16394,15178,15123,14987,15369,15659,15298,14881,15460,20741,21593,21642,21633,22113,21128,20823,20603,21927,20801,21005,20762,21635,20342,21035,21520,22073,20895,21815,15210,15721,15071,14986,15388,15003,15969,16359,21915,22188,21520,21253,22254,21563,21954,23331,23103,21290,24329,21919,16012,17619,17030,15792,15755,15459,17702,16200,21811,21718,21685,21270,20745,21314,15671,15898,15385,15386,17083,15162,14738,16544,17777,16472,18458,16475,15228,16205,15749,15907,22992,22191,21601,22864,22029,21643,21202,21709,21760,22360,23630,21663,22607,21966,22799,22904,22733,21589,
