n,time
4720,148.93
4730,149.92
4740,148.31
4750,147.95
4760,149.11
4770,155.11
4780,158.27
4790,147.34
4800,147.02
4810,142.16
4820,147.34
4830,158.01
4840,147.83
4850,144.75
4860,151.95
4870,147.08
4880,148.86
4890,155.18
4900,156.1
4910,154.53
4920,142.33
4930,153.29
4940,146.28
4950,151.86
4960,159.85
4970,143.01
4980,144.6
4990,140.01
5000,148.53
