n,times1,times2,times3,times4,times5,times6,times7,times8,times9,times10,times11,times12,times13,times14,times15,times16,times17,times18,times19,times20,times21,times22,times23,times24,times25,times26,times27,times28,times29,times30,times31,times32,times33,times34,times35,times36,times37,times38,times39,times40,times41,times42,times43,times44,times45,times46,times47,times48,times49,times50,times51,times52,times53,times54,times55,times56,times57,times58,times59,times60,times61,times62,times63,times64,times65,times66,times67,times68,times69,times70,times71,times72,times73,times74,times75,times76,times77,times78,times79,times80,times81,times82,times83,times84,times85,times86,times87,times88,times89,times90,times91,times92,times93,times94,times95,times96,times97,times98,times99,times100,
1000,1212,51,56,51,53,47,80,64,52,387,55,172,57,48,55,60,96,65,55,53,83,64,74,109,54,51,45,218,59,60,69,60,54,320,76,60,64,59,56,63,50,65,68,65,68,72,71,88,55,62,50,61,56,70,64,53,60,56,51,66,55,62,63,64,80,65,69,63,61,94,64,91,59,68,76,55,49,68,52,50,65,59,52,89,49,62,68,51,76,63,171,62,66,58,81,63,52,52,66,51,
2000,71,89,81,53,67,45,57,69,62,110,66,61,76,57,71,55,58,76,52,50,90,61,67,74,75,48,60,105,62,55,50,56,65,59,95,74,67,73,84,90,57,54,59,91,64,70,46,71,79,82,54,59,77,62,107,54,62,69,63,56,57,54,76,60,64,71,79,85,46,56,61,51,68,50,55,77,60,59,62,52,107,72,60,57,58,70,56,50,50,57,58,51,69,68,105,78,82,64,96,65,
3000,69,50,69,62,46,73,59,93,65,57,62,58,68,88,70,76,61,82,67,88,59,73,87,76,51,82,67,137,87,50,52,59,73,64,51,56,78,49,77,63,59,66,71,53,55,67,46,56,72,61,70,62,69,60,62,53,76,69,71,71,45,56,55,62,71,68,52,79,67,58,91,66,49,57,61,43,71,85,56,57,72,91,60,75,60,84,100,68,73,105,64,71,73,76,78,61,67,71,67,66,
4000,86,70,53,85,59,84,75,64,55,63,65,50,60,90,86,61,52,71,71,56,66,63,68,70,62,57,57,62,70,79,129,62,83,87,60,63,73,76,62,50,73,49,73,85,62,65,50,56,62,56,57,55,67,86,74,52,87,70,69,88,77,65,63,68,60,60,111,60,70,117,65,81,68,52,76,58,54,93,84,59,108,79,65,65,78,82,62,57,55,59,84,88,57,84,59,73,106,70,69,60,
5000,89,62,77,79,65,62,57,68,62,77,102,71,93,53,52,164,56,155,58,55,316,74,74,77,57,74,106,62,84,53,59,249,56,86,75,61,78,80,65,74,62,104,62,84,53,56,50,86,76,60,63,70,95,49,61,100,81,56,50,87,68,96,86,84,92,88,61,67,66,52,79,90,62,88,53,59,47,72,88,53,152,79,61,63,64,59,63,48,56,123,56,88,60,65,63,51,69,82,97,48,
